ID,Date,Latitude,Longitude,windPressure,windSpeed,Storm Develops
bay of bengal_2025-05-14,2025-05-14,14.235501,86.756004,1008.0,16.7,0
bay of bengal_2025-05-15,2025-05-15,14.235501,86.756004,1008.9,23.2,0
bay of bengal_2025-05-16,2025-05-16,14.235501,86.756004,1008.7,11.2,0
bay of bengal_2025-05-17,2025-05-17,14.235501,86.756004,1007.4,19.9,0
bay of bengal_2025-05-18,2025-05-18,14.235501,86.756004,1006.6,30.2,0
bay of bengal_2025-05-19,2025-05-19,14.235501,86.756004,1005.5,35.9,0
bay of bengal_2025-05-20,2025-05-20,14.235501,86.756004,1005.9,33.3,0
bay of bengal_2025-05-21,2025-05-21,14.235501,86.756004,1007.7,31.5,0
bay of bengal_2025-05-22,2025-05-22,14.235501,86.756004,1007.2,29.9,0
bay of bengal_2025-05-23,2025-05-23,14.235501,86.756004,1005.3,31.2,0
bay of bengal_2025-05-24,2025-05-24,14.235501,86.756004,1005.1,34.0,0
bay of bengal_2025-05-25,2025-05-25,14.235501,86.756004,1006.1,39.9,0
bay of bengal_2025-05-26,2025-05-26,14.235501,86.756004,1005.5,47.4,0
bay of bengal_2025-05-27,2025-05-27,14.235501,86.756004,1002.6,54.9,0
bay of bengal_2025-05-28,2025-05-28,14.235501,86.756004,1000.8,59.9,0
bay of bengal_2025-05-29,2025-05-29,14.235501,86.756004,1002.5,57.3,0
bay of bengal_2025-05-30,2025-05-30,14.235501,86.756004,1004.9,50.3,0
bay of bengal_2025-05-31,2025-05-31,14.235501,86.756004,1005.8,44.7,0
bay of bengal_2025-06-01,2025-06-01,14.235501,86.756004,1006.5,39.1,0
bay of bengal_2025-06-02,2025-06-02,14.235501,86.756004,1007.4,38.7,0
bay of bengal_2025-06-03,2025-06-03,14.235501,86.756004,1008.1,33.8,0
bay of bengal_2025-06-04,2025-06-04,14.235501,86.756004,1008.6,31.4,0
bay of bengal_2025-06-05,2025-06-05,14.235501,86.756004,1009.4,29.7,0
bay of bengal_2025-06-06,2025-06-06,14.235501,86.756004,1009.0,25.6,0
bay of bengal_2025-06-07,2025-06-07,14.235501,86.756004,1008.9,26.3,0
bay of bengal_2025-06-08,2025-06-08,14.235501,86.756004,1006.9,29.8,0
bay of bengal_2025-06-09,2025-06-09,14.235501,86.756004,1005.8,35.7,0
bay of bengal_2025-06-10,2025-06-10,14.235501,86.756004,1004.2,35.8,0
bay of bengal_2025-06-11,2025-06-11,14.235501,86.756004,1003.2,34.8,0
bay of bengal_2025-06-12,2025-06-12,14.235501,86.756004,1002.3,37.7,0
