ID,Date,Latitude,Longitude,windPressure,windSpeed,Storm Develops
mumbai_2025-05-14,2025-05-14,19.086115,72.85291,1009.0,12.3,0
mumbai_2025-05-15,2025-05-15,19.086115,72.85291,1008.8,14.3,0
mumbai_2025-05-16,2025-05-16,19.086115,72.85291,1008.6,14.1,0
mumbai_2025-05-17,2025-05-17,19.086115,72.85291,1008.3,13.3,0
mumbai_2025-05-18,2025-05-18,19.086115,72.85291,1007.8,14.7,0
mumbai_2025-05-19,2025-05-19,19.086115,72.85291,1006.8,16.2,0
mumbai_2025-05-20,2025-05-20,19.086115,72.85291,1005.7,13.2,0
mumbai_2025-05-21,2025-05-21,19.086115,72.85291,1005.1,10.7,0
mumbai_2025-05-22,2025-05-22,19.086115,72.85291,1004.7,18.3,0
mumbai_2025-05-23,2025-05-23,19.086115,72.85291,1002.2,13.2,0
mumbai_2025-05-24,2025-05-24,19.086115,72.85291,1001.8,12.0,0
mumbai_2025-05-25,2025-05-25,19.086115,72.85291,1004.1,11.6,0
mumbai_2025-05-26,2025-05-26,19.086115,72.85291,1003.8,21.3,0
mumbai_2025-05-27,2025-05-27,19.086115,72.85291,1003.7,13.0,0
mumbai_2025-05-28,2025-05-28,19.086115,72.85291,1004.2,13.5,0
mumbai_2025-05-29,2025-05-29,19.086115,72.85291,1002.6,17.8,0
mumbai_2025-05-30,2025-05-30,19.086115,72.85291,1004.8,17.8,0
mumbai_2025-05-31,2025-05-31,19.086115,72.85291,1007.1,20.0,0
mumbai_2025-06-01,2025-06-01,19.086115,72.85291,1008.1,19.1,0
mumbai_2025-06-02,2025-06-02,19.086115,72.85291,1006.1,19.9,0
mumbai_2025-06-03,2025-06-03,19.086115,72.85291,1006.9,20.9,0
mumbai_2025-06-04,2025-06-04,19.086115,72.85291,1008.5,14.6,0
mumbai_2025-06-05,2025-06-05,19.086115,72.85291,1010.1,10.0,0
mumbai_2025-06-06,2025-06-06,19.086115,72.85291,1011.1,10.0,0
mumbai_2025-06-07,2025-06-07,19.086115,72.85291,1011.4,10.1,0
mumbai_2025-06-08,2025-06-08,19.086115,72.85291,1010.5,14.0,0
mumbai_2025-06-09,2025-06-09,19.086115,72.85291,1009.6,18.8,0
mumbai_2025-06-10,2025-06-10,19.086115,72.85291,1007.5,17.5,0
