ID,Date,Latitude,Longitude,windPressure,windSpeed,Storm Develops
pune_2025-05-12,2025-05-12,18.523726,73.86876,1010.5,17.1,0
pune_2025-05-13,2025-05-13,18.523726,73.86876,1010.2,12.6,0
pune_2025-05-14,2025-05-14,18.523726,73.86876,1010.5,11.2,0
pune_2025-05-15,2025-05-15,18.523726,73.86876,1010.6,13.3,0
pune_2025-05-16,2025-05-16,18.523726,73.86876,1010.1,12.8,0
pune_2025-05-17,2025-05-17,18.523726,73.86876,1009.9,13.3,0
pune_2025-05-18,2025-05-18,18.523726,73.86876,1009.8,14.0,0
pune_2025-05-19,2025-05-19,18.523726,73.86876,1008.3,12.0,0
pune_2025-05-20,2025-05-20,18.523726,73.86876,1007.4,9.6,0
pune_2025-05-21,2025-05-21,18.523726,73.86876,1007.4,9.9,0
pune_2025-05-22,2025-05-22,18.523726,73.86876,1006.1,15.0,0
pune_2025-05-23,2025-05-23,18.523726,73.86876,1003.9,18.4,0
pune_2025-05-24,2025-05-24,18.523726,73.86876,1002.8,10.3,0
pune_2025-05-25,2025-05-25,18.523726,73.86876,1005.4,16.0,0
pune_2025-05-26,2025-05-26,18.523726,73.86876,1005.1,12.4,0
pune_2025-05-27,2025-05-27,18.523726,73.86876,1005.5,14.0,0
pune_2025-05-28,2025-05-28,18.523726,73.86876,1004.8,20.5,0
pune_2025-05-29,2025-05-29,18.523726,73.86876,1004.0,19.4,0
pune_2025-05-30,2025-05-30,18.523726,73.86876,1006.7,22.2,0
pune_2025-05-31,2025-05-31,18.523726,73.86876,1008.9,21.0,0
pune_2025-06-01,2025-06-01,18.523726,73.86876,1009.1,19.5,0
pune_2025-06-02,2025-06-02,18.523726,73.86876,1008.3,20.9,0
pune_2025-06-03,2025-06-03,18.523726,73.86876,1008.8,20.4,0
pune_2025-06-04,2025-06-04,18.523726,73.86876,1010.2,16.8,0
pune_2025-06-05,2025-06-05,18.523726,73.86876,1011.9,11.3,0
pune_2025-06-06,2025-06-06,18.523726,73.86876,1012.3,13.9,0
pune_2025-06-07,2025-06-07,18.523726,73.86876,1012.3,12.6,0
pune_2025-06-08,2025-06-08,18.523726,73.86876,1011.7,15.5,0
pune_2025-06-09,2025-06-09,18.523726,73.86876,1010.7,19.2,0
pune_2025-06-10,2025-06-10,18.523726,73.86876,1008.8,14.3,0
